75 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 16.71625, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.32583, 'val_kl_Loss_MI': 6.13429}
76 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 13.58147, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.58804, 'val_kl_Loss_MI': 6.15184}
77 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 11.09389, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.66357, 'val_kl_Loss_MI': 6.15987}
78 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.91507, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.5072, 'val_kl_Loss_MI': 6.15148}
79 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.12746, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.40171, 'val_kl_Loss_MI': 6.14342}
80 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 10.36806, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.11479, 'val_kl_Loss_MI': 6.12421}
81 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 10.17245, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.20145, 'val_kl_Loss_MI': 6.13296}
82 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.31066, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.27062, 'val_kl_Loss_MI': 6.1411}
83 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.62808, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.28939, 'val_kl_Loss_MI': 6.14679}
84 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 6.30817, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.4177, 'val_kl_Loss_MI': 6.15746}
85 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 10.70418, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.80739, 'val_kl_Loss_MI': 6.18989}
86 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.88446, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.48739, 'val_kl_Loss_MI': 6.16555}
87 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 12.19677, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.36292, 'val_kl_Loss_MI': 6.15057}
88 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.53814, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.02915, 'val_kl_Loss_MI': 6.12879}
89 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 9.81445, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.30185, 'val_kl_Loss_MI': 6.15191}
90 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 7.64893, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.06394, 'val_kl_Loss_MI': 6.13155}
91 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.50878, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 226.28522, 'val_kl_Loss_MI': 6.15185}
92 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.9931, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.55859, 'val_kl_Loss_MI': 6.17742}
93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.9629, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.04066, 'val_kl_Loss_MI': 6.13808}
94 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.63475, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.14552, 'val_kl_Loss_MI': 6.14711}
95 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.41437, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.24431, 'val_kl_Loss_MI': 6.15836}
96 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 12.82019, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 226.31195, 'val_kl_Loss_MI': 6.166}
97 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.14701, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 225.97993, 'val_kl_Loss_MI': 6.13743}
