93 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.77178, 'val_kl_Loss_FC': 0.0025, 'val_kl_Loss_TC': 128.37518, 'val_kl_Loss_MI': 6.02665}
94 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74321, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 128.16028, 'val_kl_Loss_MI': 6.00775}
95 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.32556, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 127.93187, 'val_kl_Loss_MI': 5.9829}
96 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.74763, 'val_kl_Loss_FC': 0.00176, 'val_kl_Loss_TC': 127.8792, 'val_kl_Loss_MI': 5.98306}
97 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.80065, 'val_kl_Loss_FC': 0.00211, 'val_kl_Loss_TC': 127.92339, 'val_kl_Loss_MI': 5.9888}
98 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.33977, 'val_kl_Loss_FC': 0.00147, 'val_kl_Loss_TC': 127.65471, 'val_kl_Loss_MI': 5.95998}
99 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.84181, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 127.91672, 'val_kl_Loss_MI': 5.99196}
100 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.65255, 'val_kl_Loss_FC': 0.00251, 'val_kl_Loss_TC': 127.94591, 'val_kl_Loss_MI': 6.00331}
101 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 3.93241, 'val_kl_Loss_FC': 0.00257, 'val_kl_Loss_TC': 127.82509, 'val_kl_Loss_MI': 5.99068}
102 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 3.1109, 'val_kl_Loss_FC': 0.00247, 'val_kl_Loss_TC': 127.93418, 'val_kl_Loss_MI': 6.00845}
103 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.49496, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 127.7679, 'val_kl_Loss_MI': 5.99341}
104 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.07855, 'val_kl_Loss_FC': 0.00253, 'val_kl_Loss_TC': 128.08214, 'val_kl_Loss_MI': 6.03031}
105 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 4.94735, 'val_kl_Loss_FC': 0.00191, 'val_kl_Loss_TC': 128.1654, 'val_kl_Loss_MI': 6.03337}
106 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 5.82577, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 127.93066, 'val_kl_Loss_MI': 6.00206}
107 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 7.49213, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 127.77619, 'val_kl_Loss_MI': 5.99756}
108 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 5.43931, 'val_kl_Loss_FC': 0.00259, 'val_kl_Loss_TC': 127.73695, 'val_kl_Loss_MI': 5.99091}
109 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.77763, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 127.6259, 'val_kl_Loss_MI': 5.98535}
110 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.6518, 'val_kl_Loss_FC': 0.00204, 'val_kl_Loss_TC': 127.44165, 'val_kl_Loss_MI': 5.97112}
