97 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30599, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00393, 'val_kl_Loss_DTC': 0.00145}
98 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30871, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.0021, 'val_kl_Loss_DTC': 0.00284}
99 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.309, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 9e-05, 'val_kl_Loss_DTC': 0.00212}
100 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.35168, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00181, 'val_kl_Loss_DTC': 0.00462}
101 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.31381, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00187, 'val_kl_Loss_DTC': 0.00213}
102 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.28981, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00369, 'val_kl_Loss_DTC': 0.0009}
103 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30387, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00048, 'val_kl_Loss_DTC': 0.0015}
104 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45262, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00345, 'val_kl_Loss_DTC': 0.00081}
105 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30318, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00037, 'val_kl_Loss_DTC': 0.00159}
106 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.3051, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00017, 'val_kl_Loss_DTC': 0.00336}
107 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.28868, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00151, 'val_kl_Loss_DTC': 0.00104}
108 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.29433, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00117, 'val_kl_Loss_DTC': 0.0027}
109 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.33972, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00274, 'val_kl_Loss_DTC': 0.00075}
110 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.28743, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00752, 'val_kl_Loss_DTC': 0.00132}
111 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.30742, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00164, 'val_kl_Loss_DTC': 0.0014}
112 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.28766, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00161, 'val_kl_Loss_DTC': 0.00268}
